번호,병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소,홈페이지
5330,바른약속치과의원,치과의원,032-666-2879,14709,"경기도 부천시 경인로 189 심곡본동동도센트리움 201호,202호,203호 (심곡본동)",
5331,바른약속치과의원,치과의원,02-6354-2875,03963,서울특별시 마포구 월드컵로 125 영보빌딩 3층 (망원동),
5332,바른약속치과의원,치과의원,02-6083-2875,07297,서울특별시 영등포구 당산로 34 로데오 왘 쇼핑몰 2층 (문래동3가),
5333,바른약속치과의원,치과의원,02-6346-5001,07807,"서울특별시 강서구 공항대로 168 747 3층 301, 302, 303호 (마곡동)",
5334,바른양치과의원,치과의원,032-235-2875,14548,경기도 부천시 중동로248번길 38 매트로펠리스 Ⅱ-A 303호 (중동),
5335,바른얼굴덕치과의원,치과의원,051-623-2080,48442,"부산광역시 남구 수영로 261 대연 SK VIEW Hills 401동 2층 208,209호 (대연동, 대연 SK VIEW Hills)",
5336,바른에스치과교정과 치과의원,치과의원,02-3666-6033,14235,"경기도 광명시 오리로 870 502호 (철산동, 스타힐스빌딩)",
5337,바른연합치과의원,치과의원,043-881-2275,27738,충청북도 음성군 맹동면 대하1길 4 3층,
5338,바른우리치과교정과치과의원,치과의원,044-998-2080,30127,"세종특별자치시 새롬중앙로 64 301~302호 (새롬동, 세종영광프라자)",
5339,바른우리치과의원,치과의원,031-573-7575,11902,"경기도 구리시 갈매중앙로 83 301~302호 (갈매동, 아름터프라자)",
5340,바른우리치과의원,치과의원,02-6380-2828,03436,서울특별시 은평구 갈현로 15 2층 (신사동),
5341,바른웅치과의원,치과의원,02-3444-2871,06028,"서울특별시 강남구 논현로175길 101 2층 (신사동, 송우빌딩)",http://
5342,바른윤곽치과병원,치과병원,051-714-2822,47256,부산광역시 부산진구 서면문화로 10 13~14층 (부전동),
5343,바른윤치과의원,치과의원,02-521-2882,07024,서울특별시 동작구 남부순환로 2059 (사당동),
5344,바른율치과의원,치과의원,062-671-0075,62012,광주광역시 서구 금화로 58 3층 (금호동),
5345,바른이 치과교정과 치과의원,치과의원,041-335-8875,32428,충청남도 예산군 예산읍 금오대로 45 엠타워 501호(5층),
5346,바른이 치과교정과 치과의원,치과의원,051-417-9300,49052,부산광역시 영도구 태종로 114 (영선동1가),
5347,바른이갖기김현치과의원,치과의원,031-393-2800,15865,"경기도 군포시 산본로323번길 16-14 402,403호 (산본동, 센타빌딩A동)",http://www.barun2.co.kr/
5348,바른이고른이치과의원,치과의원,02-873-2080,08759,서울특별시 관악구 남부순환로 1607 3층 (신림동),http://www.barun28.kr
5349,바른이김대식치과의원,치과의원,051-715-5075,48265,부산광역시 수영구 수영로 465 3층 (남천동),
5350,바른이김치과의원,치과의원,042-867-1009,34127,대전광역시 유성구 죽동로297번길 76 301호 (죽동),
5351,바른이드림치과교정과치과의원,치과의원,031-383-2885,14103,"경기도 안양시 동안구 평촌대로 132 204~205호 (평촌동, 제일빌딩)",
5352,바른이디자인치과교정과치과의원,치과의원,031-714-2080,13630,"경기도 성남시 분당구 돌마로 52 402호 (구미동, MD프라자)",
5353,바른이만들기치과교정과치과의원,치과의원,3454-0099,06205,"서울특별시 강남구 선릉로64길 9 4층 (대치동, 대성빌딩)",
5354,바른이바른얼굴 치과교정과치과의원,치과의원,031-909-0015,10402,"경기도 고양시 일산동구 정발산로 31-17 402호 (장항동, 킹타운빌딩)",
5355,바른이박상민치과의원,치과의원,031-492-2875,15360,"경기도 안산시 단원구 예술대학로 17 301,302호 (고잔동, 안산중앙노블레스)",http://www.barune.kr/
5356,바른이안치과교정과치과의원,치과의원,063-225-8522,55080,전라북도 전주시 완산구 용머리로 38 5층 (효자동1가),
5357,바른이안치과의원,치과의원,02-2282-7522,10546,경기도 고양시 덕양구 향기로 58 향동프라자 301호 (향동동),
5358,바른이연합치과의원,치과의원,053-593-2080,42620,"대구광역시 달서구 성서로 420 메가타운 205,206호 (이곡동)",
5359,바른이연합치과의원,치과의원,041-832-2275,33152,충청남도 부여군 부여읍 사비로 63 2층,
5360,바른이예쁜이치과의원,치과의원,032-501-2885,21388,"인천광역시 부평구 부평문화로 55 4층 401호 (부평동, 와이디타워)",http://www.barun2dental.com
5361,바른이유치과의원,치과의원,031-852-2825,11813,"경기도 의정부시 오목로225번길 162 301호 (민락동, 씨티프라자)",
5362,바른이정치과의원,치과의원,02-6317-2875,01707,서울특별시 노원구 덕릉로 603 삼화빌딩 2층 (중계동),
5363,바른이치과교정과치과의원,치과의원,052-256-2885,44713,"울산광역시 남구 삼산로 303 103동 4층 421호 (삼산동, 대성스카이렉스)",
5364,바른이치과교정과치과의원,치과의원,02-365-2885,03734,"서울특별시 서대문구 통일로 177 2층, 4층 (옥천동)",
5365,바른이치과교정과치과의원,치과의원,051-851-0428,47549,부산광역시 연제구 반송로 8 3층 (연산동),
5366,바른이치과교정과치과의원,치과의원,422-3101,21653,"인천광역시 남동구 논고개로123번길 17 (논현동, 아이플렉스)",
5367,바른이치과교정과치과의원,치과의원,031-577-2804,12205,경기도 남양주시 와부읍 덕소로 73 303호 (세양아르비채리버상가),http://www.barun-e.net/
5368,바른이치과교정과치과의원,치과의원,032-429-2828,22146,인천광역시 미추홀구 구월로 32-1 (주안동),http://www.barun-e.com/
5369,바른이치과교정과치과의원,치과의원,031-652-0428,17854,경기도 평택시 비전5로 20-36 좋은프라자빌딩 3층 302호 (비전동),
5370,바른이치과교정과치과의원,치과의원,031-674-8530,17580,경기도 안성시 중앙로 359 2층 (석정동),
5371,바른이치과교정과치과의원,치과의원,031-942-2010,10905,"경기도 파주시 미래로 371 601호 (동패동, 씨티타워)",
5372,바른이치과교정과치과의원,치과의원,033-253-2875,24433,강원도 춘천시 영서로 2341 (온의동),
5373,바른이치과교정과치과의원,치과의원,041-668-2885,31981,충청남도 서산시 시장4길 39 (동문동),http://www.baruni.co.kr
5374,바른이치과교정과치과의원,치과의원,041-856-2885,32582,충청남도 공주시 번영1로 108 (신관동),
5375,바른이치과교정과치과의원,치과의원,041-565-2275,31163,충청남도 천안시 서북구 검은들3길 34 (불당동),
5376,바른이치과교정과치과의원,치과의원,061-653-7528,59689,전라남도 여수시 망마로 40 2층 (학동),
5377,바른이치과교정과치과의원,치과의원,054-454-2875,39286,경상북도 구미시 송정대로 40-1 (송정동),
5378,바른이치과교정과치과의원,치과의원,053-253-2872,41940,대구광역시 중구 동덕로 99 삼덕빌딩 3층 (삼덕동2가),
5379,바른이치과교정과치과의원,치과의원,055-335-2862,50921,"경상남도 김해시 가락로 58 7층 (부원동, 김해부원동우체국)",http://www.dentalwhite.kr
5380,바른이치과의원,치과의원,064-746-7570,63086,제주특별자치도 제주시 연북로 14 (노형동),
5381,바른이치과의원,치과의원,02-763-3487,03099,서울특별시 종로구 율곡로 241-2 3층 (충신동),
5382,바른이치과의원,치과의원,051-341-2828,46563,부산광역시 북구 덕천로 233 (만덕동),http://
5383,바른이치과의원,치과의원,051-728-2833,46015,부산광역시 기장군 정관면 정관로 495 (),
5384,바른이치과의원,치과의원,051-703-5035,48111,부산광역시 해운대구 양운로42번길 20 (좌동),http://www.barun2.com/
5385,바른이치과의원,치과의원,051-638-7522,47351,부산광역시 부산진구 중앙대로 615 (범천동),
5386,바른이치과의원,치과의원,031-841-3814,11747,"경기도 의정부시 능곡로 24 201호 (신곡동, 성원2차아파트상가)",
5387,바른이치과의원,치과의원,031-499-2875,15010,경기도 시흥시 배곧3로 96 M-플러스 4층 409호 (정왕동),
5388,바른이치과의원,치과의원,031-377-2275,18132,"경기도 오산시 운암로 132 203호 (부산동, 주공1단지 상가)",
5389,바른이치과의원,치과의원,031-915-0500,10386,"경기도 고양시 일산서구 중앙로 1414 5층 (주엽동, 주택은행)",http:/seoulbarun.co.kr
5390,바른이치과의원,치과의원,043-272-7321,28567,충청북도 청주시 서원구 사직대로 151-1 (사창동),
5391,바른이치과의원,치과의원,041-547-2275,31527,충청남도 아산시 문화로 329 4층 (모종동),http://www.no1barune.co.kr 
5392,바른이치과의원,치과의원,041-931-7591,33466,충청남도 보령시 대천로 20 (대천동),
5393,바른이치과의원,치과의원,042-544-7501,35373,대전광역시 서구 관저서로 70 101호 (관저동),
5394,바른이치과의원,치과의원,063-471-7528,54139,전라북도 군산시 공단대로 388 3층 (나운동),
5395,바른이치과의원,치과의원,063-244-9119,55018,"전라북도 전주시 덕진구 건산로 274 3층 (인후동1가, 지문빌딩)",
5396,바른이치과의원,치과의원,574-2828,61041,광주광역시 북구 설죽로 504 2층 (일곡동),
5397,바른이치과의원,치과의원,061-433-2879,59233,전라남도 강진군 강진읍 영랑로4길 7 1층,
5398,바른이치과의원,치과의원,054-282-5275,37745,경상북도 포항시 북구 중흥로 341 3층 (죽도동),http://www.ohdental.co.kr
5399,바른이치과의원,치과의원,054-533-2804,37211,경상북도 상주시 상산로 243-1 2층 (남성동),
5400,바른이치과의원,치과의원,055-355-2875,50435,경상남도 밀양시 중앙로 295-1 2층 (삼문동),
5401,바른이치과의원,치과의원,055-281-8154,51484,"경상남도 창원시 성산구 대암로 40-14 (남양동, 동양람세스빌딩)",
5402,바른이치과의원,치과의원,055-741-7199,52754,경상남도 진주시 진주대로 1068 (대안동),
5403,바른이턱치과의원,치과의원,031-613-2872,18454,"경기도 화성시 동탄지성로 17 2층 201.202호 (반송동, 풍성 위버폴리스)",
5404,바른이턱치과의원,치과의원,031-655-2355,17854,"경기도 평택시 비전2로 212 좋은메디타워 5층 501,502,503,504호 (비전동)",
5405,바른이플란트치과의원,치과의원,031-252-7528,16257,경기도 수원시 팔달구 정조로 788 2층 (팔달로2가),
5406,바른이플란트치과의원,치과의원,032-213-2030,21596,"인천광역시 남동구 장승남로 54 301호 (만수동, 신영프라자)",
5407,바른임플러스치과의원,치과의원,02-2603-0330,07727,"서울특별시 강서구 강서로 160 성지빌딩 3,4층 (화곡동)",http://www.implusdent.com/
5408,바른임플치과의원,치과의원,052-288-7520,44248,"울산광역시 북구 진장유통로 64 4층 (진장동, 롯데마트)",
5409,바른임플치과의원,치과의원,02-939-7522,01689,"서울특별시 노원구 동일로 1413 5층 (상계동, 남성빌딩)",http://barunimplant.com/
5410,바른정성치과의원,치과의원,02-432-2875,02130,서울특별시 중랑구 봉우재로 42 (면목동),
5411,바른정치과의원,치과의원,052-708-7528,45001,울산광역시 울주군 온산읍 덕신로 279 수산업협동조합(온산점) 5층,
5412,바른정치과의원,치과의원,02-322-9448,03991,"서울특별시 마포구 월드컵북로6길 3 3층 301호 (연남동, 이노베이스빌딩)",http://www.dentalbanobagi.com/
5413,바른정치과의원,치과의원,02-445-7528,06365,"서울특별시 강남구 헌릉로590길 11 203,204호 (세곡동)",
5414,바른정치과의원,치과의원,02-6735-7575,08268,서울특별시 구로구 경인로 211 2층 (오류동),
5415,바른정치과의원,치과의원,02-6214-7528,02017,서울특별시 중랑구 봉화산로 39 2층 (중화동),
5416,바른정치과의원,치과의원,051-710-0010,46218,"부산광역시 금정구 청룡예전로 2 4층 (청룡동, 경신빌딩)",
5417,바른정치과의원,치과의원,031-421-7515,16039,경기도 의왕시 갈미2로 40 (내손동),
5418,바른정치과의원,치과의원,054-337-2754,38894,경상북도 영천시 완산로 64 2층 (완산동),
5419,바른정플란트치과의원,치과의원,051-365-2275,46541,"부산광역시 북구 금곡대로199번길 3 6층 (화명동, 화명동K빌딩)",
5420,바른진치과의원,치과의원,052-201-2875,44645,울산광역시 남구 문수로 329 2층 (옥동),
5421,바른최치과의원,치과의원,02-931-7405,01762,서울특별시 노원구 동일로 1379 다모아빌딩 301호 (상계동),
5422,바른치과교정과치과의원,치과의원,033-535-2885,25768,강원도 동해시 중앙로 229 3층 (천곡동),
5423,바른치과교정과치과의원,치과의원,02-839-2872,08301,"서울특별시 구로구 구로중앙로 68 2층 (구로동, 신안타워)",
5424,바른치과의원,치과의원,055-386-3700,50611,경상남도 양산시 물금읍 청운로 343 BR빌딩 201호,
5425,바른치과의원,치과의원,02-2266-2857,04554,서울특별시 중구 충무로 13 엘크루 메트로시티 5층 517호 (충무로3가),
5426,바른치과의원,치과의원,02-833-9666,07354,서울특별시 영등포구 영등포로 422 2층 (신길동),
5427,바른치과의원,치과의원,02-3665-2275,07548,서울특별시 강서구 화곡로 420 3층 (등촌동),http://blog.naver.com/baarn
5428,바른치과의원,치과의원,02-2292-2275,04716,서울특별시 성동구 고산자로 203 2층 (행당동),
5429,바른치과의원,치과의원,02-353-2875,03342,서울특별시 은평구 연서로 275 2층 (불광동),
5430,바른치과의원,치과의원,02-883-2804,08793,서울특별시 관악구 남부순환로 1926 경동제약빌딩 2층 (봉천동),
5431,바른치과의원,치과의원,031-949-2825,10937,경기도 파주시 조리읍 통일로 317 305호 (봉일천타워),
5432,바른치과의원,치과의원,032-434-7528,21550,인천광역시 남동구 석산로 135 302호 (간석동),
5433,바른치과의원,치과의원,031-298-7528,18316,경기도 화성시 봉담읍 삼천병마로 1268 (),
5434,바른치과의원,치과의원,033-681-1877,24734,강원도 고성군 간성읍 간성로 24 (간성읍),
5435,바른치과의원,치과의원,043-644-2727,27169,충청북도 제천시 의림대로 123 (중앙로2가),
5436,바른치과의원,치과의원,041-631-2275,32230,충청남도 홍성군 홍성읍 내포로 20 5층,
5437,바른치과의원,치과의원,044-868-2882,30127,세종특별자치시 한누리대로 253 에스빌딩 502호 (나성동),http://www.ivydental.co.kr
5438,바른치과의원,치과의원,063-838-2828,54657,"전라북도 익산시 군익로 415 3층 301호 (송학동, 삼복빌딩)",
5439,바른치과의원,치과의원,063-432-5528,55430,전라북도 진안군 진안읍 시장2길 4 (),
5440,바른치과의원,치과의원,054-636-5660,36074,"경상북도 영주시 중앙로 119-119 5,6층 (하망동)",
5441,바른치과의원,치과의원,053-981-7275,41160,대구광역시 동구 동촌로 204 (방촌동),
5442,바른치과의원,치과의원,054-841-8279,36657,경상북도 안동시 광명로 191 1층 (옥동),
5443,바른치과의원,치과의원,052-258-2750,44672,울산광역시 남구 월평로 50 2층 (신정동),http://www.barundent.com
5444,바른치과의원,치과의원,055-248-2828,51731,"경상남도 창원시 마산합포구 합포로 21 (수성동, IBK저축은행)",
5445,바른치과의원,치과의원,055-328-2080,50943,경상남도 김해시 김해대로 2078 삼성홈플러스 2층층 X12Y7호 (내동),
5446,바른케이(K)치과의원,치과의원,02-2248-2775,02591,서울특별시 동대문구 서울시립대로 31 102동 204호 (전농동),
5447,바른탑치과의원,치과의원,031-347-2875,16094,경기도 의왕시 부곡시장길 34 (삼동),
5448,바른탑치과의원,치과의원,031-699-3475,12951,경기도 하남시 대청로 26 202호 (신장동),
5449,바른탑치과의원,치과의원,032-235-2279,14427,경기도 부천시 원종로 37 4층 (원종동),
5450,바른탑치과의원,치과의원,031-503-2879,14995,경기도 시흥시 승지로59번길 12 시티타워 4층 403~405호 (능곡동),
5451,바른탑치과의원,치과의원,041-904-2828,31104,충청남도 천안시 서북구 두정로 258 3층 (두정동),
5452,바른탑치과의원,치과의원,041-424-2875,31521,충청남도 아산시 번영로 220 3층 (모종동),
5453,바른턱얼굴미치과의원,치과의원,031-382-2843,14052,"경기도 안양시 동안구 관평로 227 304호 (관양동, 한가람상가)",http://ckrdent.co.kr
5454,바른턱얼굴치과의원,치과의원,032-503-7528,21335,"인천광역시 부평구 굴포로 42 4층 (갈산동, 세광프라자)",http://www.implantdent.or.kr/
5455,바른턱코앞구강내과치과의원,치과의원,,54898,"전라북도 전주시 덕진구 백제대로 563 302호 (금암동, 코앞빌딩)",
5456,바른플란트치과교정과치과의원,치과의원,031-722-2811,13365,경기도 성남시 중원구 성남대로 1132 모란역 센트럴스퀘어 305~309호 (성남동),
5457,바른플란트치과의원,치과의원,031-8067-7528,16349,경기도 수원시 장안구 파장로68번길 2 2층 (파장동),
5458,바른플란트치과의원,치과의원,02-495-2875,02163,서울특별시 중랑구 망우로 402 3층 (망우동),
5459,바른플란트치과의원,치과의원,051-504-2279,47823,부산광역시 동래구 미남로132번길 112 4층 (온천동),
5460,바른플란트치과의원,치과의원,031-797-7522,12791,경기도 광주시 경충대로1480번길 5 이레타워 302호 (쌍령동),
5461,바른플란트치과의원,치과의원,032-888-7522,22178,인천광역시 미추홀구 독배로 434 2층 (숭의동),
5462,바른플란트치과의원,치과의원,032-473-7705,21547,"인천광역시 남동구 구월로 221 2층 전체호 (구월동, 아세아프라자)",
5463,바른플란트치과의원,치과의원,033-636-1989,24853,"강원도 속초시 중앙로 3 301호 (교동, 속초보광빌딩)",
5464,바른플란트치과의원,치과의원,062-233-2819,61464,광주광역시 동구 남문로 663 3층 (학동),
5465,바른플란트치과의원,치과의원,061-682-2879,59792,"전라남도 여수시 웅천로 134 303,304호 (웅천동)",
5466,바른해치과교정과치과의원,치과의원,02-575-2885,06276,서울특별시 강남구 선릉로 225 도곡렉슬아파트 305호 (도곡동),http://www.barunhae.com/
5467,바른훈치과의원,치과의원,02-446-9005,04954,"서울특별시 광진구 천호대로 659 3층 (구의동, 아차산웨딩홀)",https://barunhoondental.modoo.at
5468,바를정치과의원,치과의원,02-354-2275,03421,"서울특별시 은평구 연서로 1 206호 (역촌동, 리더스파크)",
5469,바오로치과의원,치과의원,053-631-0079,42785,대구광역시 달서구 월배로 222 2층 (상인동),
5470,바오치과의원,치과의원,053-965-5585,41067,대구광역시 동구 경안로 848 대구광역시 동구 경안로 848 (각산동),
5471,바이란트치과의원,치과의원,3429-1100,06162,서울특별시 강남구 테헤란로 401 6층 602호 (삼성동),http://www.bilant.co.kr
5472,바이스치과교정과치과의원,치과의원,02-511-2882,06019,서울특별시 강남구 도산대로 333 8층 (신사동),
5473,바이오란트치과의원,치과의원,02-3439-7500,08208,"서울특별시 구로구 경인로 661 신도림1차푸르지오 209,201호 (신도림동)",
5474,바인치과의원,치과의원,031-997-7522,10102,경기도 김포시 중봉1로 51 2층 (감정동),
5475,바인치과의원,치과의원,,05639,"서울특별시 송파구 마천로 29 (방이동, 4층)",
5476,박강석치과의원,치과의원,02-765-2879,03139,서울특별시 종로구 종로 115 3층 (종로3가),
5477,박건배치과의원,치과의원,02-543-6056,06535,"서울특별시 서초구 신반포로 332 201호 (반포동, 우진빌딩)",
5478,박경렬치과의원,치과의원,032-545-0404,21112,인천광역시 계양구 아나지로 195 2층 (효성동),
5479,박경빈치과의원,치과의원,032-876-2275,22209,인천광역시 미추홀구 인주대로266번길 18 (용현동),
5480,박경빈치과의원,치과의원,02-974-6422,01774,"서울특별시 노원구 섬밭로 263 209호 (중계동, 롯데상가)",
5481,박경수치과의원,치과의원,031-754-9316,13300,경기도 성남시 수정구 남문로 65 5층 (태평동),
5482,박경식치과의원,치과의원,055-332-6684,50814,경상남도 김해시 삼안로 243 (삼방동),https://parkkyongsikdenyal.modoo.at/
5483,박경준치과의원,치과의원,02-887-4453,08788,서울특별시 관악구 남부순환로 1844 (봉천동),
5484,박경호치과의원,치과의원,051-203-2211,49408,부산광역시 사하구 낙동대로 443 (하단동),
5485,박경호치과의원,치과의원,051-322-5093,47012,부산광역시 사상구 가야대로 272-1 4층 유창빌딩 (주례동),
5486,박공현치과의원,치과의원,02-599-5276,06570,서울특별시 서초구 서초대로 35 (방배동),
5487,박광선치과의원,치과의원,02-2242-2875,02435,서울특별시 동대문구 망우로 131 2층 (휘경동),
5488,박광치과의원,치과의원,062-651-2870,61674,광주광역시 남구 봉선2로 77 1층 (봉선동),
5489,박광현치과의원,치과의원,055-244-2875,51270,"경상남도 창원시 마산합포구 교방시장2길 21 (교방동, 교방주공시장(주))",
5490,박규현치과의원,치과의원,02-334-6168,03781,서울특별시 서대문구 연희로 38 (연희동),http://
5491,박근완치과의원,치과의원,031-744-3333,13248,"경기도 성남시 중원구 산성대로 340-1 3층 (중앙동, 범원빌딩)",
5492,박금석치과의원,치과의원,062-652-2828,61697,광주광역시 남구 서문대로 832 (주월동),
5493,박금순치과의원,치과의원,02-954-2552,01325,서울특별시 도봉구 마들로 708 (도봉동),
5494,박기광치과의원,치과의원,042-634-6728,34437,대전광역시 대덕구 한밭대로 1048 (오정동),
5495,박기백치과의원,치과의원,051-868-2323,47603,부산광역시 연제구 월드컵대로 3 6층 (연산동),
5496,박기범치과의원,치과의원,752-5321,63168,제주특별자치도 제주시 중앙로 62 2층 (일도일동),
5497,박기봉치과의원,치과의원,051-516-8544,46227,부산광역시 금정구 중앙대로1985번길 1 (남산동),
5498,박기수치과의원,치과의원,055-643-2061,53042,경상남도 통영시 중앙로 285 (북신동),
5499,박기연치과의원,치과의원,02-2281-2875,04714,서울특별시 성동구 행당로17길 1-3 (행당동),
5500,박기유치과의원,치과의원,032-362-0489,21345,"인천광역시 부평구 충선로 170-3 2층 (부개동, 부림빌딩)",
5501,박기정치과의원,치과의원,727-2804,57968,전라남도 순천시 장선배기길 33 4층 (조례동),
5502,박기철치과의원,치과의원,031-256-2310,16443,"경기도 수원시 팔달구 화양로35번길 6 (화서동,2층)",
5503,박기헌치과의원,치과의원,051-305-0114,46948,부산광역시 사상구 사상로 325 부산정형외과 2층 (덕포동),
5504,박기환치과의원,치과의원,031-878-2875,11637,"경기도 의정부시 외미로 95 406호 (호원동, 하나프라자)",
5505,박길용치과의원,치과의원,031-466-7867,14001,"경기도 안양시 만안구 안양로 303 709호 (안양동, 메쎄포스빌)",http://www.gildental.com
5506,박남웅치과의원,치과의원,062-376-7293,62029,"광주광역시 서구 염화로45번길 17 2층 21호 (화정동, 라인동산아파트상가)",
5507,박노수치과의원,치과의원,055-248-9484,51295,경상남도 창원시 마산회원구 북성로 109 (회원동),
5508,박노승치과의원,치과의원,061-691-7528,59673,전라남도 여수시 시청로 27 (학동),
5509,박달연세치과의원,치과의원,031-445-6626,13980,경기도 안양시 만안구 양화로 137 (박달동),
5510,박달호치과의원,치과의원,031-445-2875,13980,경기도 안양시 만안구 양화로 147 2층 (박달동),
5511,박대근치과의원,치과의원,053-954-2875,41570,대구광역시 북구 대현로 96 (대현동),
5512,박대열치과의원,치과의원,053-311-5824,41468,대구광역시 북구 칠곡중앙대로 223 2층 (태전동),
5513,박대진치과의원,치과의원,033-256-2858,24273,강원도 춘천시 중앙로 74 (중앙로2가),
5514,박대한치과의원,치과의원,053-755-0016,42067,"대구광역시 수성구 달구벌대로 2598 512호 (만촌동, S-큐브빌딩)",
5515,박동관치과의원,치과의원,02-892-0028,14247,"경기도 광명시 안현로 52 목욕탕상가동 304호 (하안동, 하안주공10단지)",
5516,박동규치과의원,치과의원,033-746-2875,26427,강원도 원주시 원일로 99 (일산동),http://www.pdgdental.co.kr/
5517,박동균치과의원,치과의원,051-624-2826,48443,"부산광역시 남구 수영로 277 (대연동, 라오빌딩 5층)",
5518,박동범치과의원,치과의원,032-662-9399,14728,경기도 부천시 경인로 74 4층일부 (송내동),
5519,박동수치과의원,치과의원,051-808-1875,47243,부산광역시 부산진구 동성로 133 (전포동),
5520,박동호치과의원,치과의원,02-3426-5753,05242,서울특별시 강동구 올림픽로 769 (암사동),
5521,박명제치과의원,치과의원,02-934-6004,01613,서울특별시 노원구 동일로 1619 (상계동),
5522,박문석치과의원,치과의원,054-334-6834,38890,경상북도 영천시 시장로 58 (완산동),
5523,박문수치과의원,치과의원,061-536-0028,59042,전라남도 해남군 해남읍 남부순환로 156 (-45),
5524,박민생치과의원,치과의원,055-331-2875,50925,"경상남도 김해시 가락로 26 602호 (부원동, 부원프라자)",
5525,박민욱치과의원,치과의원,055-256-2872,51215,경상남도 창원시 마산회원구 내서읍 호계본동로 17-2 (코오롱그랜드쇼핑),
5526,박민주치과의원,치과의원,02-974-2928,01814,"서울특별시 노원구 공릉로 206 2층 (공릉동, 동부아파트)",
5527,박민호치과의원,치과의원,032-546-7817,21126,인천광역시 계양구 아나지로417번길 21 (작전동),
5528,박민호치과의원,치과의원,051-338-0202,46567,부산광역시 북구 만덕대로 78 (덕천동),
5529,박병규치과의원,치과의원,032-324-2285,14548,"경기도 부천시 길주로 288 504호 (중동, 다운타운)",
5530,박병덕치과의원,치과의원,02-715-1013,04100,서울특별시 마포구 서강로 142 4층 (노고산동),
5531,박병석치과의원,치과의원,032-438-2727,22241,인천광역시 미추홀구 인하로 446 (관교동),
5532,박병욱치과의원,치과의원,055-255-7887,51373,"경상남도 창원시 의창구 팔용로 438 (팔용동, 팔용종합상가 403호)",
5533,박병준치과의원,치과의원,053-322-2875,41438,대구광역시 북구 칠곡중앙대로 424 (읍내동),
5534,박봉기치과의원,치과의원,02-467-2804,05003,서울특별시 광진구 광나루로 361 (군자동),
5535,박상균치과의원,치과의원,582-2135,06664,"서울특별시 서초구 방배로20길 4 (방배동,5층)",
5536,박상록치과의원,치과의원,043-218-1002,28510,충청북도 청주시 상당구 상당로 144 2층 (북문로2가),
5537,박상복치과의원,치과의원,031-702-5743,13587,"경기도 성남시 분당구 불정로376번길 37 303호 (서현동, 범한프라자)",
5538,박상수치과의원,치과의원,062-225-2000,61108,"광주광역시 북구 비엔날레로 97 3층 (용봉동, 들출쉼터)",
5539,박상영치과의원,치과의원,052-273-4290,44752,울산광역시 남구 수암로 230 3층 (야음동),
5540,박상우치과의원,치과의원,032-876-5588,22126,인천광역시 미추홀구 길파로 27 (주안동),
5541,박상욱치과의원,치과의원,032-516-6912,21404,"인천광역시 부평구 경원대로 1366 502호 (부평동, 스테이션타워)",http://www.psudent.com
5542,박상윤치과의원,치과의원,062-673-1144,61699,광주광역시 남구 서문대로 764 201호 (주월동),
5543,박상헌치과의원,치과의원,053-626-2275,42418,대구광역시 남구 대명로 309 (대명동),
5544,박상훈치과의원,치과의원,051-335-3978,46641,부산광역시 북구 시랑로 84 (구포동),
5545,박석주치과의원,치과의원,055-313-4700,50981,"경상남도 김해시 능동로 159 202호 (부곡동, 메드피아빌딩)",
5546,박석치과의원,치과의원,02-823-6084,07041,서울특별시 동작구 국사봉1길 45 2층 (상도동),
5547,박석환치과의원,치과의원,061-725-2882,57985,전라남도 순천시 해룡면 장선배기길 284 청솔@상가동 201호,
5548,박선규치과의원,치과의원,02-379-5153,03604,서울특별시 서대문구 홍은중앙로 89 (홍은동),
5549,박선병치과의원,치과의원,02-783-4008,07333,서울특별시 영등포구 여의대방로 379 (여의도동),
5550,박선치과의원,치과의원,02-412-5548,05671,서울특별시 송파구 가락로 210 2층 (송파동),
5551,박선희치과의원,치과의원,032-762-6980,22318,인천광역시 중구 참외전로 134 2층 (인현동),
5552,박성구치과의원,치과의원,052-271-0340,44683,울산광역시 남구 중앙로 268 (신정동),
5553,박성국치과의원,치과의원,051-417-2422,49079,부산광역시 영도구 절영로 123 2층 (영선동3가),
5554,박성규치과의원,치과의원,042-623-2950,34546,대전광역시 동구 계족로 425 3층 (용전동),
5555,박성근치과의원,치과의원,053-955-7171,41540,대구광역시 북구 연암로 100-1 (산격동),
5556,박성근치과의원,치과의원,061-752-0062,57936,전라남도 순천시 삼산로 107 (용당동),
5557,박성노치과의원,치과의원,02-433-6025,02121,서울특별시 중랑구 망우로 216 (상봉동),
5558,박성동치과의원,치과의원,031-793-2872,12969,경기도 하남시 신장로 150 3층 (덕풍동),
5559,박성배치과의원,치과의원,053-753-8875,42029,대구광역시 수성구 달구벌대로 2489 (범어동),
5560,박성빈치과의원,치과의원,041-555-2874,31105,"충청남도 천안시 서북구 두정로 244 301호 (두정동, 두정필레오Ⅱ)",
5561,박성빈치과의원,치과의원,032-811-1871,21934,"인천광역시 연수구 함박뫼로 250 206호 (연수동, 풍림아파트상가)",
5562,박성용치과의원,치과의원,061-802-2804,58642,전라남도 목포시 영산로 525 2층 (상동),
5563,박성운치과의원,치과의원,043-211-2875,28333,충청북도 청주시 청원구 율봉로 224 (율량동),
5564,박성원치과의원,치과의원,031-722-1293,13290,경기도 성남시 수정구 수정로 179-1 2층 (태평동),
